job,marital,education,default,housing,loan,contact,month,day_of_week,y
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
entrepreneur,married,unknown,unknown,yes,no,telephone,may,mon,no
services,divorced,high.school,unknown,yes,no,telephone,may,mon,no
entrepreneur,married,unknown,unknown,no,no,telephone,may,mon,no
blue-collar,married,unknown,no,yes,yes,telephone,may,mon,no
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,no
blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,no
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,no
technician,single,professional.course,no,yes,no,telephone,may,mon,no
services,married,high.school,no,no,no,telephone,may,mon,no
management,single,university.degree,no,yes,no,telephone,may,mon,no
blue-collar,single,basic.9y,unknown,yes,yes,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
services,divorced,high.school,unknown,no,no,telephone,may,mon,no
entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,no
services,married,high.school,no,yes,yes,telephone,may,mon,no
admin.,divorced,unknown,unknown,no,no,telephone,may,mon,no
blue-collar,married,unknown,no,no,no,telephone,may,mon,no
management,divorced,university.degree,no,yes,no,telephone,may,mon,no
blue-collar,married,high.school,unknown,no,yes,telephone,may,mon,no
services,married,high.school,unknown,no,no,telephone,may,mon,no
technician,married,university.degree,no,yes,yes,telephone,may,mon,no
admin.,single,university.degree,unknown,no,no,telephone,may,mon,no
services,married,high.school,no,no,no,telephone,may,mon,no
management,married,basic.9y,no,no,no,telephone,may,mon,no
services,married,high.school,no,yes,yes,telephone,may,mon,no
admin.,single,basic.6y,no,no,no,telephone,may,mon,no
services,married,high.school,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,no
technician,married,high.school,no,no,no,telephone,may,mon,no
blue-collar,married,basic.6y,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,yes
admin.,married,university.degree,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
management,married,university.degree,no,no,no,telephone,may,mon,no
technician,married,basic.6y,unknown,no,no,telephone,may,mon,no
retired,married,high.school,unknown,no,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,no
technician,married,professional.course,no,no,no,telephone,may,mon,no
blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,no
management,divorced,university.degree,no,no,no,telephone,may,mon,no
technician,married,university.degree,no,no,no,telephone,may,mon,no
blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
admin.,married,high.school,unknown,yes,no,telephone,may,mon,no
blue-collar,single,basic.9y,unknown,no,no,telephone,may,mon,no
admin.,married,basic.9y,unknown,yes,no,telephone,may,mon,no
blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,no
services,married,high.school,no,no,no,telephone,may,mon,no
services,single,basic.6y,no,no,no,telephone,may,mon,no
blue-collar,married,high.school,no,yes,no,telephone,may,mon,no
admin.,married,unknown,no,no,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,no
student,single,university.degree,unknown,no,no,telephone,may,mon,no
student,single,university.degree,unknown,yes,yes,telephone,may,mon,no
unemployed,married,professional.course,no,no,no,telephone,may,mon,no
services,single,basic.4y,no,no,no,telephone,may,mon,no
student,single,university.degree,unknown,yes,no,telephone,may,mon,no
student,single,basic.9y,no,yes,no,telephone,may,mon,no
housemaid,divorced,university.degree,no,no,no,telephone,may,mon,no
admin.,married,university.degree,no,no,no,telephone,may,mon,no
retired,married,unknown,unknown,no,no,telephone,may,mon,no
blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,no
housemaid,married,basic.4y,unknown,yes,no,telephone,may,mon,no
blue-collar,single,unknown,no,yes,no,telephone,may,mon,no
blue-collar,single,unknown,no,yes,yes,telephone,may,mon,no
housemaid,married,basic.4y,unknown,no,no,telephone,may,mon,no
services,married,high.school,no,no,no,telephone,may,mon,no
admin.,married,high.school,no,yes,no,telephone,may,mon,no
technician,married,unknown,unknown,no,no,telephone,may,mon,no
services,single,basic.6y,unknown,yes,no,telephone,may,mon,no
technician,married,basic.4y,unknown,yes,no,telephone,may,mon,no
technician,married,basic.9y,no,no,no,telephone,may,mon,no
retired,married,university.degree,no,no,no,telephone,may,mon,no
technician,married,university.degree,no,no,no,telephone,may,mon,no
admin.,single,university.degree,no,no,no,telephone,may,mon,no
retired,married,basic.4y,unknown,no,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,yes,yes,telephone,may,mon,no
admin.,married,professional.course,no,yes,no,telephone,may,mon,no
services,divorced,professional.course,no,yes,no,telephone,may,mon,no
management,divorced,basic.4y,unknown,yes,no,telephone,may,mon,no
admin.,married,high.school,unknown,no,no,telephone,may,mon,no
self-employed,married,university.degree,unknown,no,no,telephone,may,mon,no
admin.,married,professional.course,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,no
admin.,married,high.school,no,no,no,telephone,may,mon,no
services,married,high.school,unknown,no,yes,telephone,may,mon,no
management,married,university.degree,unknown,no,yes,telephone,may,mon,no
retired,married,high.school,no,no,no,telephone,may,mon,no
technician,single,professional.course,no,no,no,telephone,may,mon,no
management,married,university.degree,no,yes,no,telephone,may,mon,no
services,single,basic.9y,no,no,no,telephone,may,mon,no
technician,married,university.degree,unknown,no,no,telephone,may,mon,no
services,divorced,unknown,no,no,no,telephone,may,mon,no
technician,single,professional.course,no,no,no,telephone,may,mon,no
technician,single,high.school,no,yes,no,telephone,may,mon,no
blue-collar,single,high.school,no,no,yes,telephone,may,mon,no
services,single,high.school,no,no,no,telephone,may,mon,no
technician,divorced,professional.course,no,no,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
services,married,basic.6y,no,yes,no,telephone,may,mon,no
technician,married,professional.course,no,yes,no,telephone,may,mon,no
services,married,unknown,no,no,no,telephone,may,mon,no
services,married,high.school,no,yes,yes,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,no
management,married,basic.9y,no,no,yes,telephone,may,mon,no
technician,married,unknown,no,yes,no,telephone,may,mon,no
admin.,married,high.school,no,no,yes,telephone,may,mon,no
admin.,married,high.school,no,no,yes,telephone,may,mon,no
blue-collar,single,basic.6y,no,unknown,unknown,telephone,may,mon,no
technician,married,high.school,no,no,no,telephone,may,mon,no
admin.,divorced,basic.9y,no,no,no,telephone,may,mon,no
admin.,married,university.degree,no,no,no,telephone,may,mon,no
blue-collar,single,basic.6y,no,no,no,telephone,may,mon,no
self-employed,single,university.degree,no,yes,no,telephone,may,mon,no
student,single,university.degree,unknown,no,no,telephone,may,mon,no
management,divorced,university.degree,no,no,no,telephone,may,mon,no
self-employed,married,basic.4y,unknown,no,no,telephone,may,mon,no
unemployed,married,high.school,unknown,yes,no,telephone,may,mon,no
management,divorced,university.degree,no,no,no,telephone,may,mon,no
housemaid,married,basic.9y,unknown,no,no,telephone,may,mon,no
admin.,single,high.school,no,no,no,telephone,may,mon,no
housemaid,single,high.school,unknown,yes,yes,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
services,married,high.school,no,no,no,telephone,may,mon,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,no
technician,single,basic.9y,no,no,no,telephone,may,mon,no
retired,married,professional.course,no,no,no,telephone,may,mon,no
blue-collar,married,basic.6y,no,no,no,telephone,may,mon,no
technician,married,basic.4y,no,yes,no,telephone,may,mon,no
admin.,married,basic.9y,no,no,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,no
blue-collar,divorced,basic.9y,no,yes,no,telephone,may,mon,no
blue-collar,divorced,basic.6y,no,no,no,telephone,may,mon,no
housemaid,married,basic.9y,no,yes,no,telephone,may,mon,yes
admin.,single,high.school,no,yes,yes,telephone,may,mon,no
blue-collar,married,unknown,unknown,yes,no,telephone,may,mon,no
services,married,high.school,no,no,no,telephone,may,mon,no
management,divorced,university.degree,no,yes,no,telephone,may,mon,no
admin.,married,high.school,no,yes,yes,telephone,may,mon,no
technician,divorced,professional.course,unknown,no,yes,telephone,may,mon,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
technician,single,professional.course,no,yes,no,telephone,may,mon,no
self-employed,married,professional.course,no,no,no,telephone,may,mon,no
blue-collar,divorced,high.school,no,no,yes,telephone,may,mon,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,no
services,divorced,high.school,no,no,no,telephone,may,mon,no
unknown,married,unknown,unknown,no,no,telephone,may,mon,no
services,single,high.school,unknown,no,no,telephone,may,mon,no
blue-collar,divorced,high.school,unknown,no,yes,telephone,may,mon,no
retired,married,professional.course,unknown,no,no,telephone,may,mon,no
unknown,married,unknown,no,yes,no,telephone,may,mon,no
admin.,married,high.school,no,yes,no,telephone,may,mon,no
admin.,married,basic.6y,unknown,yes,no,telephone,may,mon,no
blue-collar,married,unknown,unknown,no,no,telephone,may,mon,no
housemaid,divorced,basic.4y,no,yes,yes,telephone,may,mon,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,no
management,divorced,university.degree,no,yes,no,telephone,may,mon,no
admin.,single,university.degree,no,no,no,telephone,may,mon,no
admin.,married,high.school,no,no,no,telephone,may,mon,no
blue-collar,married,professional.course,unknown,yes,no,telephone,may,mon,no
management,married,university.degree,unknown,yes,no,telephone,may,mon,no
admin.,single,basic.9y,unknown,no,no,telephone,may,mon,no
admin.,divorced,high.school,no,no,no,telephone,may,mon,no
retired,married,basic.6y,no,no,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,no
services,married,high.school,no,yes,no,telephone,may,mon,no
management,single,basic.9y,no,yes,no,telephone,may,mon,no
admin.,single,basic.6y,no,yes,yes,telephone,may,mon,no
technician,single,unknown,no,no,no,telephone,may,mon,no
services,married,basic.6y,unknown,no,no,telephone,may,mon,no
technician,married,professional.course,no,yes,yes,telephone,may,mon,no
housemaid,single,professional.course,no,no,no,telephone,may,mon,no
admin.,single,university.degree,no,yes,no,telephone,may,mon,no
admin.,married,high.school,no,no,no,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,no
admin.,married,high.school,no,no,no,telephone,may,mon,no
services,single,high.school,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,no
management,married,high.school,no,yes,no,telephone,may,mon,no
self-employed,single,university.degree,no,no,yes,telephone,may,mon,no
services,married,high.school,unknown,yes,no,telephone,may,mon,no
entrepreneur,married,high.school,no,yes,no,telephone,may,mon,no
technician,single,professional.course,unknown,yes,no,telephone,may,mon,no
blue-collar,single,high.school,no,yes,yes,telephone,may,mon,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,no
management,married,university.degree,unknown,no,no,telephone,may,mon,no
management,married,professional.course,unknown,yes,no,telephone,may,mon,no
services,single,high.school,no,yes,no,telephone,may,mon,no
admin.,married,basic.9y,no,no,no,telephone,may,mon,no
unknown,married,unknown,unknown,yes,no,telephone,may,mon,no
blue-collar,divorced,basic.4y,no,yes,no,telephone,may,mon,no
technician,married,high.school,no,yes,no,telephone,may,mon,no
services,divorced,professional.course,no,no,no,telephone,may,mon,no
blue-collar,single,basic.9y,unknown,yes,no,telephone,may,mon,no
entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,no
blue-collar,married,basic.4y,no,no,no,telephone,may,mon,no
blue-collar,married,basic.6y,unknown,no,no,telephone,may,mon,no
technician,married,professional.course,no,no,no,telephone,may,mon,no
management,married,university.degree,no,no,no,telephone,may,mon,no
services,married,high.school,no,yes,no,telephone,may,mon,no
admin.,married,university.degree,no,yes,no,telephone,may,mon,no
unemployed,single,university.degree,no,no,no,telephone,may,mon,no
blue-collar,single,high.school,no,no,no,telephone,may,mon,no
blue-collar,married,basic.9y,no,no,no,telephone,may,mon,no
services,married,basic.4y,no,no,no,telephone,may,mon,no
entrepreneur,married,basic.4y,no,yes,no,telephone,may,mon,no
unemployed,divorced,high.school,unknown,no,no,telephone,may,tue,no
management,married,university.degree,no,yes,no,telephone,may,tue,no
technician,married,high.school,no,yes,no,telephone,may,tue,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
admin.,married,university.degree,no,yes,no,telephone,may,tue,no
technician,married,university.degree,no,no,no,telephone,may,tue,no
self-employed,married,high.school,no,yes,no,telephone,may,tue,no
admin.,divorced,basic.9y,no,no,no,telephone,may,tue,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,no
management,divorced,high.school,no,no,no,telephone,may,tue,no
blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
blue-collar,married,basic.9y,no,no,yes,telephone,may,tue,no
admin.,single,high.school,no,yes,no,telephone,may,tue,no
blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,no
services,married,high.school,no,no,no,telephone,may,tue,no
blue-collar,married,unknown,no,no,no,telephone,may,tue,no
technician,married,basic.6y,no,yes,no,telephone,may,tue,no
admin.,single,university.degree,no,no,no,telephone,may,tue,no
admin.,married,basic.9y,no,no,no,telephone,may,tue,no
admin.,married,university.degree,no,yes,yes,telephone,may,tue,no
blue-collar,single,unknown,no,no,no,telephone,may,tue,no
admin.,married,basic.9y,no,yes,no,telephone,may,tue,no
management,single,university.degree,no,no,no,telephone,may,tue,no
student,single,unknown,unknown,no,no,telephone,may,tue,no
management,married,basic.4y,unknown,yes,yes,telephone,may,tue,no
management,married,basic.4y,unknown,unknown,unknown,telephone,may,tue,no
self-employed,married,university.degree,no,no,no,telephone,may,tue,no
housemaid,married,basic.6y,unknown,yes,yes,telephone,may,tue,no
unknown,single,unknown,unknown,yes,yes,telephone,may,tue,yes
services,married,high.school,no,yes,no,telephone,may,tue,yes
retired,unknown,university.degree,unknown,no,no,telephone,may,tue,no
management,married,high.school,unknown,no,no,telephone,may,tue,no
admin.,married,university.degree,no,no,no,telephone,may,tue,no
admin.,married,high.school,no,no,no,telephone,may,tue,no
admin.,married,basic.9y,no,no,no,telephone,may,tue,no
technician,married,professional.course,no,no,no,telephone,may,tue,no
services,married,high.school,unknown,no,no,telephone,may,tue,no
blue-collar,divorced,basic.4y,no,no,no,telephone,may,tue,no
self-employed,married,university.degree,no,yes,yes,telephone,may,tue,no
blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,no
services,single,high.school,no,no,no,telephone,may,tue,no
services,married,high.school,unknown,unknown,unknown,telephone,may,tue,no
blue-collar,married,high.school,unknown,yes,no,telephone,may,tue,no
unemployed,married,university.degree,unknown,yes,no,telephone,may,tue,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
entrepreneur,married,university.degree,no,yes,no,telephone,may,tue,no
services,divorced,basic.6y,no,no,no,telephone,may,tue,no
admin.,married,high.school,no,yes,no,telephone,may,tue,no
services,married,high.school,no,no,yes,telephone,may,tue,no
blue-collar,married,basic.9y,unknown,yes,no,telephone,may,tue,no
admin.,married,high.school,no,no,no,telephone,may,tue,no
technician,married,basic.4y,no,no,yes,telephone,may,tue,no
blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
retired,unknown,basic.4y,no,no,no,telephone,may,tue,no
entrepreneur,married,basic.4y,unknown,yes,no,telephone,may,tue,no
blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,tue,no
self-employed,single,basic.9y,unknown,yes,yes,telephone,may,tue,no
admin.,married,high.school,unknown,no,no,telephone,may,tue,no
services,married,high.school,no,yes,no,telephone,may,tue,no
technician,single,university.degree,no,yes,no,telephone,may,tue,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
entrepreneur,married,basic.4y,no,no,no,telephone,may,tue,no
blue-collar,married,basic.4y,unknown,no,no,telephone,may,tue,no
management,married,university.degree,unknown,no,no,telephone,may,tue,no
blue-collar,married,basic.4y,unknown,yes,no,telephone,may,tue,no
blue-collar,married,basic.9y,no,no,no,telephone,may,tue,no
management,married,basic.6y,no,no,no,telephone,may,tue,no
technician,married,professional.course,no,yes,no,telephone,may,tue,no
unknown,married,unknown,unknown,yes,no,telephone,may,tue,no
services,married,high.school,unknown,no,no,telephone,may,tue,no
self-employed,divorced,university.degree,no,no,no,telephone,may,tue,no
self-employed,married,basic.9y,unknown,no,no,telephone,may,tue,no
self-employed,single,university.degree,no,yes,no,telephone,may,tue,no
services,single,professional.course,no,yes,yes,telephone,may,tue,no
services,married,unknown,unknown,no,no,telephone,may,tue,no
technician,married,professional.course,no,yes,no,telephone,may,tue,no
housemaid,married,basic.9y,no,yes,no,telephone,may,tue,no
blue-collar,married,professional.course,no,no,no,telephone,may,tue,no
admin.,divorced,university.degree,no,no,no,telephone,may,tue,no
management,married,unknown,no,yes,no,telephone,may,tue,no
technician,married,professional.course,unknown,no,yes,telephone,may,tue,no
housemaid,married,university.degree,no,no,no,telephone,may,tue,no
blue-collar,divorced,basic.9y,unknown,no,no,telephone,may,tue,no
management,married,university.degree,no,yes,no,telephone,may,tue,no
admin.,married,basic.9y,no,no,no,telephone,may,tue,no
blue-collar,married,unknown,unknown,no,no,telephone,may,tue,no
technician,married,professional.course,no,no,no,telephone,may,tue,yes
technician,married,basic.4y,unknown,no,yes,telephone,may,tue,no
technician,married,basic.4y,unknown,no,no,telephone,may,tue,no
blue-collar,married,basic.4y,no,no,yes,telephone,may,tue,no
technician,married,basic.4y,unknown,no,no,telephone,may,tue,no
student,single,basic.9y,unknown,yes,no,telephone,may,tue,no
management,married,university.degree,no,no,no,telephone,may,tue,no
admin.,married,university.degree,no,yes,no,telephone,may,tue,no
technician,married,professional.course,no,yes,no,telephone,may,tue,no
admin.,married,high.school,no,no,no,telephone,may,tue,no
management,married,professional.course,unknown,yes,no,telephone,may,tue,no
unemployed,single,basic.4y,no,yes,no,telephone,may,tue,no
housemaid,married,basic.4y,no,no,no,telephone,may,tue,no
blue-collar,married,basic.6y,no,no,yes,telephone,may,tue,no
admin.,single,basic.9y,unknown,no,no,telephone,may,tue,no
technician,divorced,high.school,no,no,no,telephone,may,tue,no
self-employed,married,university.degree,no,yes,no,telephone,may,tue,no
blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,no
services,married,high.school,no,no,no,telephone,may,tue,no
admin.,married,high.school,no,yes,yes,telephone,may,tue,no
management,married,basic.6y,unknown,no,no,telephone,may,tue,no
management,married,professional.course,unknown,yes,no,telephone,may,tue,no
admin.,married,basic.4y,no,yes,no,telephone,may,tue,no
